Index,Temps,Hexadecimal_sans_p,Hexadecimal
2317,19231587934,8D3415CFEA485860013C08,8D3415CFEA485860013C087F17B9
2318,19234568655,8D3415CF58BF01ED2FF9EB,8D3415CF58BF01ED2FF9EBD5A50C
2319,19238368824,8D3415CF58BF056D39F9FD,8D3415CF58BF056D39F9FDEA95CC
2320,19240480403,8D3415CFEA485860013C08,8D3415CFEA485860013C087F17B9
2321,19242041233,8D3415CF58BF056CF3F9EB,8D3415CF58BF056CF3F9EB1561C5
2322,19248958506,8D3415CFF82300020049B8,8D3415CFF82300020049B8CE1C5D
2323,19249717581,8D3415CF58BF056C69F9C5,8D3415CF58BF056C69F9C51561C5
2324,19250319878,8D3415CFEA485860013C08,8D3415CFEA485860013C087F17B9
2325,19252001874,8D3415CF990CC3AC500415,8D3415CF990CC3AC500415015187
2326,19253757493,8D3415CF58BF01EBC3F989,8D3415CF58BF01EBC3F989D58121
2327,19257347228,8D3415CF58BF01EB7FF977,8D3415CF58BF01EB7FF977D58121
2328,19261598335,8D3415CF58BF01EB2FF961,8D3415CF58BF01EB2FF961D58121
2329,19265080496,8D3415CF58BF056B47F978,8D3415CF58BF056B47F978EAB1E1
2330,19267437960,8D3415CFE11AA100000000,8D3415CFE11AA100000000C83D72
2331,19267678334,8D3415CF990CC3AC500415,8D3415CF990CC3AC500415015187
2332,19267799066,8D3415CFF82300020049B8,8D3415CFF82300020049B8CE1C5D
